hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end
AC-214CE0,,,C560,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 4 snapshot(s), 61 s between sightings",last position 58 s old when last seen; not reacquired in the window
AC-92C292,,,B350,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-326FB5,,,EN28,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-FC101C,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-58B492,,,E75L,adsb_icao,2,incomplete,10,2,8,,3,,,,last position 57 s old when last seen; not reacquired in the window
AC-340130,,,A321,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-5CF0AB,,,GLF5,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 20 s without a refresh, then reacquired (threshold 20 s)",
AC-2C44B2,,,B752,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-9D2936,,,BE55,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-293978,,,C210,adsr_icao,,fail,0,0,0,,0,91.227(c)(1)(i); 91.227(c)(1)(ii); 91.227(c)(1)(iii); 91.227(c)(1)(v),,,
AC-C444CD,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-D84951,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-29DBC7,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-C14F26,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-2C67C6,,,CL60,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-90EDF9,,,,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-B78E27,,,C182,adsb_icao,2,pass,9,1,7,2,3,,,,
AC-040E07,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-683E10,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-E9CA43,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-884841,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-49A09F,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-F8C27C,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-E9BA9D,,,LJ45,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 35 s without a refresh, then reacquired (threshold 20 s)",
AC-F6C244,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-C3174A,,,C172,adsr_icao,,fail,9,0,0,2,3,91.227(c)(1)(ii); 91.227(c)(1)(iii),,,
AC-2AEEAD,,,A21N,adsb_icao,2,pass,9,1,8,3,3,,,,
AC-C942EF,,,P180,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-0CBE0A,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-819C26,,,CRJ2,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-D3F8ED,,,PA31,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-05225F,,,B752,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-8B88F7,,,C680,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-2405C8,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-B2D9EB,,,M20P,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-1B0DF8,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-4F8055,,,CRJ7,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-676DDB,,,B752,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-6E85BD,,,B744,adsb_icao,0,not evaluable,,,,,,,,"dropout: position went at least 55 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 5 snapshot(s), 71 s between sightings; dropout: absent from 1 snapshot(s), 20 s between sightings",
AC-102DA7,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-B55FB4,,,A21N,adsb_icao,2,pass,10,1,8,3,3,,,,
AC-D8C051,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-D07375,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-CDE15E,,,B748,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-F1DDDF,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-E3C9F9,,,E145,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-A1E418,,,C172,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 51 s without a refresh, then reacquired (threshold 20 s)",
AC-67AF54,,,GLF6,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-5A09A6,,,M20P,adsb_icao,2,pass,10,2,9,2,3,,,,last position 59 s old when last seen; not reacquired in the window
AC-01AB55,,,A21N,adsb_icao,2,pass,10,2,8,3,3,,,,
AC-77E2FE,,,E145,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-691336,,,E145,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-79CE9A,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-5FE93B,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-14B0E7,,,CRJ1,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-5445F9,,,GLF6,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-39ADFA,,,B737,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-326F3E,,,A319,adsb_icao,2,pass,9,1,8,2,3,,,,last position 23 s old when last seen; not reacquired in the window
AC-919E37,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-7A0A72,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-D6316F,,,GLF5,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-7C8910,,,B737,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-511BF4,,,A319,adsb_icao,2,incomplete,,,8,,,,,,last position 59 s old when last seen; not reacquired in the window
AC-F8BEFC,,,C700,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 51 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 6 snapshot(s), 80 s between sightings",
AC-8D99E3,,,CRJ7,adsb_icao,2,pass,9,2,8,2,3,,,,
AC-0752C9,,,PC12,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-84F537,,,A319,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-F0A11B,,,B739,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-926EE7,,,E170,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-127E43,,,C700,adsb_icao,2,pass,10,2,9,2,3,,,,last position 52 s old when last seen; not reacquired in the window
AC-A64A33,,,E170,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-4A5D1B,,,B738,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-6B63FB,,,E170,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-2C1CB5,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 20 s between sightings",last position 54 s old when last seen; not reacquired in the window
AC-E7479C,,,B739,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-B7F366,,,EN28,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-75D770,,,B738,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-68A094,,,PC12,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-2D8F11,,,G280,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-10F2EE,,,A321,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-B1BED9,,,PC12,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-750484,,,B739,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-22C4B9,,,A321,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-43C37F,,,A21N,adsb_icao,2,pass,10,2,8,3,3,,,,
AC-D03EA7,,,E145,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-D7EA80,,,C68A,adsb_icao,2,pass,10,2,9,2,3,,,,
AC-2DD117,,,BE40,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-6A836F,,,B712,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-655A11,,,B738,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-99E82E,,,A321,adsb_icao,2,pass,9,1,8,2,3,,,,
AC-86F858,,,C130,adsb_icao,2,pass,10,1,8,2,3,,,,
AC-A561D8,,,C560,adsb_icao,2,pass,10,1,8,3,3,,,,
AC-FCCC83,,,AS65,adsb_icao,2,pass,11,1,10,2,3,,,,
AC-5B4823,,,E75S,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-E5BCD0,,,E75S,adsb_icao,2,pass,10,2,8,2,3,,,,
AC-ECC7E4,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,
