hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-9245CE,,,A359,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,"10,000 ft to FL180",,48,91.225(d)(1),,
AC-D9084D,,,B788,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",,,A5,Surface,sil alternated between 2 and 3 (4 changes),31,91.225(d)(1),,
AC-F3A7C0,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,106,91.225(d)(4),,
AC-D167E1,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,81,91.225(d)(4),,
AC-B5B695,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,20,91.225(d)(4),,
AC-2EA07E,,,GLF5,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,121,91.225(d)(1),,
AC-5ECC8C,,,A20N,adsb_icao,2,pass,9,1,8,3,3,,,,,,A3,FL180 and above,,121,91.225(d)(4),,
AC-3C911C,,,B77W,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: position went at least 49 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings",,,A5,"Below 10,000 ft",,85,91.225(d)(1),,
AC-ED7583,,,A21N,adsb_icao,2,pass,10,4,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",,,A3,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),145,91.225(d)(2),,
AC-6C4178,,,CL60,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 73 snapshot(s), 1111 s between sightings",last position 58 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,98,91.225(d)(2),,
AC-5F759F,,,A346,adsb_icao,2,pass,9,1,8,2,3,,,,,,A5,"Below 10,000 ft",,123,91.225(d)(2),,
AC-C5C883,,,B772,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings",,,A5,"Below 10,000 ft",,84,91.225(d)(2),,
AC-A63007,,,B772,adsb_icao,2,pass,10,2,8,2,3,,,,last position 57 s old when last seen; not reacquired in the window,,A5,"Below 10,000 ft",,87,91.225(d)(1),,
AC-AD1A6E,,,B772,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,FL180 and above,,103,91.225(d)(4),,
AC-A9FEA2,,,B788,adsb_icao,2,pass,9,1,8,2,3,,,,,,A5,FL180 and above,,75,91.225(d)(4),,
AC-818476,,,B789,adsb_icao,2,pass,9,2,8,2,3,,,,,,A5,FL180 and above,,79,91.225(d)(4),,
AC-52CE03,,,A35K,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,"Below 10,000 ft",,35,91.225(d)(3),,
AC-8AE1FF,,,A35K,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,FL180 and above,,100,91.225(d)(4),,
AC-DE3B02,,,E170,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,33,91.225(d)(4),,
AC-9A73B5,,,GL7T,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 37 s without a refresh, then reacquired (threshold 20 s)",,,A3,Surface,,240,91.225(d)(2),,
AC-C232A9,,,B772,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,"Below 10,000 ft",,31,91.225(d)(2),,
AC-58D620,,,B789,adsb_icao,2,pass,9,2,8,2,3,,,,,,A5,FL180 and above,,65,91.225(d)(4),,
AC-094A9E,,,B744,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 57 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings",,,A5,Surface,sil alternated between 2 and 3 (2 changes),35,91.225(d)(1),,
AC-E94A99,,,A333,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 30 s between sightings",last position 53 s old when last seen; not reacquired in the window,,A5,Surface,,50,91.225(d)(1),,
AC-5F2CBB,,,A333,adsb_icao,2,pass,9,1,8,2,3,,,,,,A5,FL180 and above,,68,91.225(d)(4),,
AC-372699,,,A333,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 31 s between sightings; dropout: absent from 10 snapshot(s), 165 s between sightings",last position 58 s old when last seen; not reacquired in the window,,A5,"Below 10,000 ft",,81,91.225(d)(2),,
AC-29D938,,,B789,adsb_icao,2,pass,9,2,8,2,3,,,"dropout: position went at least 51 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 17 snapshot(s), 270 s between sightings",,,A5,Surface,,30,91.225(d)(1),,
AC-77A9F1,,,A21N,adsb_icao,2,pass,9,1,8,3,3,,,,,,A3,FL180 and above,,48,91.225(d)(4),,
AC-B5ED55,,,A332,adsb_icao,2,pass,9,1,8,2,3,,,,last position 51 s old when last seen; not reacquired in the window,,A5,Surface,,18,91.225(d)(1),,
